match_id,team,top_resilience_player,top_resilience_score,max_flow_value,min_cut_zones,attacking_flow_efficiency,team_tempo_seconds,team_low_latency_ratio,completion_rate_drop_under_pressure,pressed_router,free_router
265839,Barcelona,Sergio Busquets i Burgos,0.623,22.0,x0y0|x0y1|x0y2|x1y0|x1y1|x1y2|x2y0|x3y0,0.0361,3.49,0.3314,0.1761,Lionel Andrés Messi Cuccittini,Sergio Busquets i Burgos
265839,Sevilla,Benoît Trémoulinas,1.0,15.0,x0y2|x1y1|x2y0|x2y1|x2y2|x3y0|x3y1|x3y2|x4y0|x4y1|x4y2,0.0647,3.465,0.3525,-0.0407,Benoît Trémoulinas,Kevin Gameiro
