match_id,team,top_resilience_player,top_resilience_score,max_flow_value,min_cut_zones,attacking_flow_efficiency,team_tempo_seconds,team_low_latency_ratio,completion_rate_drop_under_pressure,pressed_router,free_router
266166,Barcelona,Andrés Iniesta Luján,0.6805,30.0,x0y0|x0y1|x0y2|x1y0|x1y1|x1y2|x2y0|x2y2|x3y2,0.0457,3.535,0.259,-0.0056,Andrés Iniesta Luján,Jordi Alba Ramos
266166,Atlético Madrid,Jorge Resurrección Merodio,1.0,16.0,x0y0|x0y1|x0y2|x1y0|x1y1|x1y2|x2y0|x2y1|x2y2|x3y0|x3y1|x3y2,0.0586,3.225,0.3724,0.0051,Tiago Cardoso Mendes,Jorge Resurrección Merodio
